Title,Authors,Description,Category,Publisher,Price Starting With ($),Publish Date (Month),Publish Date (Year)
Wolf in the Shadows (A Sharon Mccone Mystery),"By Muller, Marcia","Successful in her investigative work for All Souls Legal Cooperative, happy with her newly renovated house, and feeling somewhat more secure in her relationship with the mysterious environmental activist, Hy Ripinsky, Sharon is shocked to find herself suddenly faced with a wrenching ultimatum. No longer a small, informal co-op, All Souls has grown. New legal partners, exasperated with Sharon's free-wheeling ways, want to kick her upstairs with a raise, perks, and a ""career opportunity"" that will chain her to a desk forever.Offered a take-it-or-leave-it deal, Sharon is in turmoil. And to make matters worse, Hy has disappeared. His abandoned plane, wrecked rental car, and a road map point to RKI, a firm of international security consultants with a reputation for questionable, unorthodox tactics and clients engaged in controversial research. Sharon discovers that they hired Hy as a free-lance operative and that they, too, are looking for him.Determined to find out what has happened, Sharon pushes aside her career concerns at All Souls and plunges into a search that will force her to take unlikely sanctuary in her abandoned San Diego childhood home and find and unexpected ally in her wild, unpredictable brother John. From the drive-by hiring hall for illegal aliens in Imperial Beach to an opulent villa on the Mexican coast, she will track down every clue in a complex plot that builds to a breathtaking climax on the treacherous canyon trails that lead back across the border. There, in a no-man's-land where terrified pollos defy la migra in a desperate bid for freedom...and where decisions won't wait, Sharon must make the tough choices that put her own life, her own freedom, and everything she holds dear at deadly risk."," Fiction , Mystery & Detective , General",Mysterious Pr,5.53,July,1993
Just Build the Ark and the Animals Will Come:: Children on Bible Stories,"By Heller, David","Young children relate their own intriguing versions of famous biblical stories, including the tales of Noah, Samson and Delilah, the Tower of Babel, and Sodom and Gomorrah. 50,000 first printing."," Religion , General",Villard,5.29,March,1994
A Man for All Seasons: A Play in Two Acts,"By Bolt, Robert","The classic dramatization of Sir Thomas More's historic conflict with Henry VIII—a compelling portrait of a courageous man who died for his convictions.Sir Thomas More—the brilliant nobleman, lawyer, humanist, author of such works as Utopia—was a long-time friend and favorite of Henry VIII, ascending to the position of Lord Chancellor in 1529. Yet he was also a staunch Catholic, and when Henry broke with the Church in 1531 after the Pope had refused to grant him a divorce from Catherine of Aragon, More resigned the Chancellorship. In 1534, Parliament passed a bill requiring all subjects to take an oath acknowledging the supremacy of England's king over all foreign sovereigns—including the Pope. More refused, was imprisoned, and finally was executed in 1535. An enduring modern classic, A Man for All Seasons ""challenges the mind, and, in the end, touches the heart"" (New York Times)."," Drama , European , English, Irish, Scottish, Welsh",Vintage,5.29,April,1990
Jeremy: The Tale of an Honest Bunny,"By Karon, Jan and Weidner, Teri (ILT)","Jeremy is a handmade English bunny with honesty sewn into his very being. So when he learns that he was made for someone in North Carolina, Jeremy hops right off to deliver himself to his new owner. But North Carolina is a long way from England, as Jeremy quickly learns. Before he can be safely home, Jeremy must rely on help from many people. There's old Mr. Pruneholt, who shows Jeremy where to find America; the kindly sea captain and his chattering parrot, Jethro, who see Jeremy across the water, and the unforgettable Village Dear. Most important of all are the family of young bunnies who teach Jeremy how wonderful it is to be needed. Though he'd love to stay with them, Jeremy can't forget that he has someone waiting for him and must keep moving until he arrives at her doorstep.   Jeremy, the Tale of an Honest Bunny is a story of adventure and friendship, full of humor, inspiration, and joy. It is the story of any child who is away from home-and the miracles found on the way to being safe at last.   Jan Karon says, ""I wanted to do something for my daughter that would last a long time-perhaps even a lifetime. So I wrote a book about a bunny named Jeremy who went on a journey. In the story I included the consoling verse from Psalm 91, the verse we might all hope and pray for our children: ""He will give his angels charge over you, to keep you in all your ways.""   Throughout the book there are detailed watercolor illustrations from acclaimed artist Teri Weidner. Designed with an old-fashioned charm to match the story's flavor, the book even includes a ribbon with which to keep your place as you read.   Make a place on your shelf for Jeremy alongside your favorite books from childhood-and then be ready to take it down from the shelf again and again."," Juvenile Fiction , Religious , Christian , General",Viking Juvenile,4.99,January,2000
Invisible No More: The Secret Lives of Women Over 50,"By Fisher, Renee, Kramer, Joyce, Peelen, Jean, and Llc, Invisible No More",," Body, Mind & Spirit , Inspiration & Personal Growth",iUniverse,5.0,June,2005
Harrap's Spanish and English Pocket Dictionary (Harrap's Dictionaries),"By Alvarez Garcia, Teresa (EDT), Rodger, Liam (EDT), and Ron Diaz, Elena (EDT)","The ideal portable reference for beginners or intermediate learners of SpanishHarrap’s Spanish and English Pocket Dictionary is the most comprehensive portable dictionary available today. Fully revised and up-to-date, this authoritative reference features more than 57,000 references, 90,000 translations, and thorough coverage of Latin American Spanish.Concise and exceptionally easy to use, it’s the perfect dictionary for use at home or in school. In addition, this highly accessible guide:Covers hundreds of new words and expressions, including slang, colloquial usage, technical language, and Internet terms Provides numerous usage notes to help users avoid translation pitfalls Includes a handy guide to Spanish verbs Uses Harrap’s extensive language databases and large-scale reading programs to guarantee thorough coverage of all areas of vocabulary and monitor new words"," Reference , Dictionaries",McGraw-Hill,4.99,June,2005
The National Air and Space Museum,"By Bryan, C. D. B.",,,Abrams,11.71,January,1979
Free Flight: From Airline Hell to a New Age of Travel,"By Fallows, James M.","Fallows, a correspondent for  Atlantic Monthly , explores future trends in commercial aviation technology that may make airline travel easier and quicker than the current hub system.  He focuses on three separate groups of innovators who are developing a NASA small plane research program, a small airplane with a parachute for the entire plane, and an inexpensive jet plane for air taxi services. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Business & Economics , Industries , Hospitality, Travel & Tourism",PublicAffairs,4.99,June,2001
The Book of Massage: The Complete Step-by-Step Guide To Eastern And Western Techniques,"By Lidell, Lucinda, Thomas, Sara, Cooke, Carola Beresford, and Porter, Anthony",Features instructions on basic holistic massage and discusses the practice of Shiatsu,,Simon & Schuster,4.99,December,1984
The practice of social research,"By Babbie, Earl",,,Wadsworth Pub. Co,6.72,January,1983
"Endangered Pleasures: In Defense of Naps, Bacon, Martinis, Profanity, and Other Indulgences","By Holland, Barbara","Here is a refreshing look at life as it ought to be.  Bare feet, gardening, dawdling over the newspaper, oversleeping, and idle summer vacations are infinitely more satisfying than counting fat grams, eating only vegetables, and sitting behind that desk every day.  So toss out the guilt and rebel.  Don't just stop and smell the flowers--call in sick and lie among them, preferably with a good friend, a bottle of wine, and a handful of chocolates.  Endangered Pleasures is a delightful reminder that rest and relaxation are more rewarding than a job performance review.  After all, life's too short.  Why not have some fun while you're supposed to be living it?"," Health & Fitness , Sexuality",William Morrow Paperbacks,5.29,June,2000
Hosting the Birds: How to Attract Birds to Nest in Your Yard,"By Mahnken, Jan","On the nesting cycle, with chapters on migration, courtship, nest building, egg laying, care of nestlings and fledglings, and final preparation for winter. The reference section details 175 species, including range, preferred nesting site, clutch size, and incubation and nesting period. 200 pen and ink drawings and 14 color plates. Annotation copyright Book News, Inc. Portland, Or.",,Garden Way Pub Co,5.29,April,1989
Families on the Fault Line,"By Rubin, Lillian B.","The author of Worlds of Pain draws on nearly four hundred interviews with adults and children to examine the commonalities among working-class people despite economic forces that create seemingly unbridgeable ethnic divisions. 35,000 first printing; $50,000 ad/promo."," Social Science , General",Harper Perennial,5.29,December,1994
Our Last Best Shot: Guiding our Children Through Early Adolescence,"By Stepp, Laura Sessions","Our Last Best Shot presents the personal stories of twelve girls and boys from across America. Their stories, and Laura Sessions Stepp's extensive research, provide real insight for parents trying to raise well-adjusted children in this difficult age. Filled with wisdom and common sense, based on cutting-edge research, and featuring an invaluable resource list, this is a book that parents and educators cannot afford to be without."," Family & Relationships , Parenting , General",Riverhead Books,4.99,August,2001
Intermediate Algebra Functions and Authentic Applications,"By Lehmann, Jay","This book addresses emphasizes the reform movement in mathematics, discovery learning, and curve fitting. The combination of a strong reference quality along with creative, conceptual, sometimes-applied problems, makes a powerful impression on traditionalists and reformers.  Chapter topics include linear functions, quadratic functions, exponential functions, modeling with sequences and series, rational functions, and radical functions.  For reference use in the study of Intermediate Algebra."," Mathematics , Algebra , General",Prentice Hall College Div,7.4,December,1999
The Clustering of America,"By Weiss, Michael J.","Offers a detailed analysis of geodemographic statistics, listing the forty basic lifestyle types that can be found in the country's 250,000 neighborhoods and providing a picture of how American lifestyles have changed"," Social Science , General",HarperCollins,4.99,October,1989
"Nelson Rockefeller,: A biography","By Morris, Joe Alex",,,Harper,14.62,January,1960
The PreHistory of The Far Side: A 10th Anniversary Exhibit (Volume 14),"By Larson, Gary","A Far Side retrospective, celebrating its tenth anniversary.1989 FarWorks, Inc. All Rights Reserved. The Far Side and the Larson signature are registered trademarks of FarWorks, Inc."," Humor , Form , Comic Strips & Cartoons",Andrews And McMeel Publishing,8.79,September,1989
Double Buckeyes: A Story of the Way America Used to Be,"By Shuster, Bud","In western Pennsylvania during World War II, eleven-year-old Little Buck makes a shocking discovery when his beloved grandfather dies, causing him to question his very identity."," Juvenile Fiction , Historical , General",White Mane Pub,5.0,September,1999
Investment Biker: Around the World With Jim Rogers,"By Rogers, Jim","Set against the background of a transworld motorcycle adventure, the author surveys the state of the world's economies and their currencies, and offers some disturbing predictions about the direction of the U.S. economy. Reprint."," Business & Economics , General",Adams Media Corp,5.29,August,1995
Lyndon Baines Johnson: Late a President of the United States: Memorial Services in the Congress of the United States and tributes in eulogy,By Various,,,"U.S. Congress, Joint Committee on Printing",19.95,January,1973
Readings in art history,"By Spencer, Harold",,,Scribner,5.29,January,1976
Shakedown: Exposing The Real Jesse Jackson,"By Timmerman, Kenneth R.","Reporter Timmerman presents an all-out attack on Jesse Jackson. According to Timmerman, Jackson exploits racial politics to extort money from big corporations for the enrichment of himself and his friends. After bringing himself to national political prominence by lying about being the last person Martin Luther King Jr. talked to and then faking his title of Reverend, Jackson consorted with communists, mobsters, KGB agents, drug dealers, dictators, diamond smugglers, and terrorists. He also led a sordid personal life. Timmerman's wide-ranging discussion finds absolutely no redeeming qualities in Jackson. Annotation c. Book News, Inc., Portland, OR (booknews.com)"," Political Science , Civil Rights","Regnery Publishing, Inc.",8.79,March,2002
"The Man Who Saw Through Time (The Scribner Library, Lyceum Editions, No. SL429)","By Eiseley, Loren C.","Examines the life, career, and thought of the Elizabethan philosopher and writer, evaluating the quality and accuracy of his vision of the future"," Philosophy , General",Charles Scribner's Sons,5.29,April,1973
Speaking Out for Animals: True Stories About People Who Rescue Animals,"By Stallwood, Kim W. (EDT)",," Nature , Animals , General",Lantern Books,5.29,December,2019
Message from Forever: A Novel of Aboriginal Wisdom,"By Morgan, Marlo","Following her modern classic and worldwide bestseller Mutant Message Down Under, Marlo Morgan&#39;s long-awaited new novel is a tale of self-enlightenment about aboriginal twins separated at birth and the search for roots that reunites them form opposite sides of the globe.Once more Morgan unveils the inspiring aboriginal worldview while pointedly exposing the plight of an ancient race rapidly becoming extinct as a result of more than two hundred years of systematic discrimination.Message from Forever follows the lives of Australian aboriginal twins who were taken form their young mother by Christian missionaries. The baby boy is sent to a huge sheep ranch, where he grows up with little adult supervision and random affection. On his own, Geoff develops his talent as an artist, producing work at a level well beyond his five years. The boy is adopted by an American minister and is raised in  New England with little sense of who he is or of his cultural heritage. His sister  is given only the first name Beatrice by the nuns at an Australian orphanage, where she encounters continual racism and experiences shattering looses for the first eighteen years of her life.  Upon reaching adulthood, Beatrice leaves the orphanage to work at a boardinghouse. Beatrice hungers to know more about her ancestral roots. She walks away from her life in the city to strike out into the northern desert nation, where she goes on a walkabout with a small band of Aborigines.  Geoff does not fare so well in America. As a teen, he runs away from home and slips into a life of crime, alcohol, and alienation. His addictions destroy him, and he finds himself on Death Row with little sense of how he got there. After decades of learning about people in the Outback, Beatrice leaves her nomadic life to become a ""runner between both worlds."" She returns to the Mutant world as a political activist fighting for aboriginal rights of citizens arrested and convicted of crimes in foreign countries, as well as a champion of the rights of adults who were taken from their native culture as children. Her life&#39;s work bring her into contact with her lost brother, though neither is aware of their relationship. Beatrice gives Geoff the ""message from forever,"" which outlines aboriginal philosophy and principles of good living, along with an offer to return to Australia. As we read the message with Geoff, we are challenged to stretch our concepts of identity, spirituality, and openness transcends injustice and degradation, directing us to live our lives in accordance with ageless values and simple wisdom."," Fiction , Literary",Harper,4.99,June,1998
A Prophet In His Own Country: The Triumphs and Defeats of Adlai E. Stevenson,By Kenneth S. Davis,,,Doubleday,36.61,January,1957
"Hacking Exposed: Network Security Secrets & Solutions, Third Edition (Hacking Exposed)","By McClure, Stuart, Scambray, Joel, and Kurtz, George","The new edition of this powerful best-seller contains a CD-ROM with links to security tools mentioned in the book, key security tools for download from the CD, and a password database. Inside the book, you'll also get all-new security information on 802.11 (Wireless) hacking, Windows XP, Windows.NET Server (code named Whistler), and IIS 5--plus a whole lot more!"," Computers , Security , General",Mcgraw-Hill Osborne Media,6.78,September,2001
Aditi: The Living Arts of India,"By Adams, Robert and Sethi, Rajeev (EDT)",,,Smithsonian Institution Press,10.99,May,1985
Shuffle Up and Deal: The Ultimate No Limit Texas Hold 'em Guide (World Poker Tour),"By Sexton, Mike","A poker primer from the hosts and stars of the World Poker Tour, offering basic strategy, trivia, and an inside look at this runaway hit. The World Poker Tour has revolutionized the game of poker by putting cameras under the table and raising awareness and enthusiasm to an international level. The World Poker Tour: Shuffle Up and Deal is aimed at the millions of passionate fans of the WPT, whether they're ambitious up–and–comers on the poker circuit, or casual players hoping to take the pot at their next Wednesday night game. Shuffle Up and Deal will be a solid poker primer, covering set–up, play, and basic poker strategy, along with many of the interactive elements of the WPT TV show: poker trivia, definitions of poker terms using examples from the show, profiles of WPT star players, insights into the world of professional poker, and an inside look at the show."," Games & Activities , Card Games , Poker",William Morrow Paperbacks,4.99,March,2005
Practical Small Gardens,"By McHoy, Peter",," Gardening , Vegetables",Hermes House,8.79,January,2003
A Taste for Love: A Romantic Cookbook for Two,"By Harbison, Elizabeth M. and McGowan, Mary","In the spirit of romance, A Taste for Love presents an imaginative selection of menus—plus romantic verse, decorating ideas and music selections—designed specifically to stir a lover's passion.  Create the ultimate in intimate dining experiences with such tantalizing treats as:- Soupe de Provence avec Pistou- Angel Hair Pasta with Braised Garlic- Simple Oven-Baked Beef Stew- Herb-Roasted Tomatoes with Romano Cheese- Pleasantly Puffed Scallops- Chocolate Kahlúa Soufflé- Broadway Cappuccino Custard- Raspberry Tortaand much more!"," Cooking , Courses & Dishes , General",Gramercy,5.29,February,1996
Venom of Argus,"By Avery, Richard",,,Fawcett,4.99,August,1976
The Closing of the American Mind,"By Bloom, Allan","THE BRILLIANT AND CONTROVERSIAL CRITIQUE OF AMERICAN CULTURE WITH NEARLY A MILLION COPIES IN PRINT  In 1987, eminent political philosopher Allan Bloom published The Closing of the American Mind, an appraisal of contemporary America that “hits with the approximate force and effect of electroshock therapy” (The New York Times) and has not only been vindicated, but has also become more urgent today. In clear, spirited prose, Bloom argues that the social and political crises of contemporary America are part of a larger intellectual crisis: the result of a dangerous narrowing of curiosity and exploration by the university elites. Now, in this twenty-fifth anniversary edition, acclaimed author and journalist Andrew Ferguson contributes a new essay that describes why Bloom’s argument caused such a furor at publication and why our culture so deeply resists its truths today."," Social Science , General",Simon & Schuster,4.99,May,1988
Fight Fat After Forty,"By Peeke, Pamela","It's a fact: stress makes you fat. Renowned clinician and scientist Dr. Pamela Peeke goes beyond diet and exercise with a lifestyle program that shows women how to stop being diet ""POWs"" (""Prisoners Of Weight"") or victims of ""Toxic Stress"" and how to evolve into physically and mentally stress-resilient individuals. Peeke helps women identify their stress-eating profiles (Are you a stress-overeater? A stress-undereater?) and explains that to remove weight, you have to lift weight. She explains what to eat and, equally as important, when to eat by navigating the afternoon ""CortiZone,"" the hours of highest vulnerability to stress eating. Learn how to put it all together through the fine art of regrouping.Women can tailor this accessible program to their individual needs using Peeke's three behavior templates:* Stress-resilient nutrition* Stress-resilient physical activity* Stress-resilient regroupingDr. Peeke's program is a must for women who want to break the stress-fat cycle that has thickened their after-forty waistlines."," Health & Fitness , General",Viking Adult,4.99,April,2000
On the Edge of Cliff,"By Pritchett, V. S.","The celebrated writer offers a new collection of nine short stories that are marked by their wit, comic exuberance, and authenticity in portraying the idiosyncrasies of characters",,Random House,5.29,October,1979
Romans,By Navigators,"Living, Dying, ResurrectingWhat does Jesus’ life, death, and resurrection mean for my life, death, and resurrection? In Romans, Paul—one of Christianity’s first theologians—sets out to answer that question. Tracing numerous threads through the Old Testament, Paul shows how Jesus’ death on the cross draws together humanity’s collective failures and transforms them into a rich tapestry. Sin and death lose their power as we are bound up into resurrection life with God. Follow the threads and find your place in the story God is weaving into the world through Christ.LifeChangeLifeChange Bible studies will help you grow in Christlikeness through a life-changing encounter with God’s Word. Filled with a wealth of ideas for going deeper so you can return to this study again and again.FeaturesCover the entire book of Romans in 20 lessonsEquip yourself to lead a Bible studyImagine the Bible’s historical worldStudy word origins and definitionsExplore thoughtful questions on key themesGo deeper with optional projectsAdd your notes with extra space and wide marginsFind the flexibility to fit the time you have"," Religion , Biblical Studies , New Testament , Paul's Letters",NavPress,4.99,December,2018
Ain't You Glad You Joined the Republicans?: A Short History of the Gop,"By Batchelor, John Calvin","John Calvin Batchelor's ""Ain't You Glad You Joined the Republicans?"" (Abraham Lincoln's 1860 campaign slogan) is the truth, and nothing but the unbelievable truth, of the Grand Old Party of the Republic. Born in the cataclysm of the antislavery movement, the Republican Party was from the first - and remains today - the most successful revolutionary party in the history of democracy. And the Party's story - from Lincoln to Teddy Roosevelt to Nixon, Reagan, and Gingrich - is the pageant of American politics.Using primary sources long overlooked by traditional historians and employing a novelist's eye and ear for the telling detail, Batchelor, in his sweeping narrative, encompasses one and a half centuries of Republican battle and paradox."," Political Science , General",Henry Holt & Co,5.76,May,1996
The Professional: Lyndon B. Johnson,"By White, William Smith",,,Houghton Mifflin,12.12,January,1964
Don't Know Much About the Bible: Everything You Need to Know About the Good Book but Never Learned,"By Davis, Kenneth C.","Nine out of ten Americans own a Bible, but how much do they know about the one book that has influenced human history more than any other? Don't Know Much About the Bible by New York Times bestselling author Kenneth C. Davis is designed to illuminate everything we need to know about the Good Book but never learned.With wit, authority, and intelligence, Davis brings the world of the Old and New Testaments to vivid life, setting the panorama of the Scriptures against the historical events that shaped them; clearing up misconceptions and mistranslations; summarizing Bible stories, parables, and miracles; and adding fresh new insights to the world's most owned, least understood book.Davis is uniquely qualified for the assignment. The creator of the bestselling Don't Know Much About series, which has more than 1.6 million copies in print, he now illuminates the bestselling book of all time using his inimitable question-and-answer approach and providing a key to the people, places, and ""household names"" we need to unlock ""The Greatest Story Ever Told.""Relying on up-to-date research and improved translations, Davis set out to uncover what the Bible says -- and doesn't say. Don't Know Much About the Bible is the result of his efforts and includes the following observations: There are two different Creation stories told in Genesis, but no apple in the Garden of Eden story. Noah invented wine and cursed the son who had seen him drunk and naked. There was no ""coat of many colors"" in the story of Joseph and his jealous brothers, but rather a long-sleeved robe. Moses didn't write the Torah and he didn't part the Red Sea in his escape from Pharaoh. The Sixth Commandment does not condemn all killing. Jericho's walls may have tumbled down because the city lies on a fault line. King David probably didn't kill Goliath and didn't write the Psalms."," Religion , Biblical Studies , General",William Morrow,8.79,September,1998
The Power of Nice,"By Dale, Jim, Shapiro, Ronald M., and Jankowski, Mark A.","Demonstrates how Robert Shapiro, an agent and attorney for some of the most famous baseball figures of the present day, successfully makes a deal and skillfully bargains so that all involved walk away a winner. Reprint. 30,000 first printing. $50,000 ad/promo. Tour."," Business & Economics , Marketing , General",Wiley,7.37,September,1998
Bringing Out the Best in Your Child: 80 Ways to Focus on Every Kid's Strengths,"By Tobias, Cynthia Ulrich and Funk, Carol",,,Vine Books,5.29,February,1997
Dave Barry's Stay Fit and Healthy Until You're Dead,"By Barry, Dave","In Stay Fit and Healthy Until You're Dead, Dave Barry says that fitness and vitality can be yours-- provided you have the discipline, drive, and the plain old-fashioned guts required to procure the necessary steroids. This manual may help, too, but you'll just have to buy it and find out.Barry on executive fitnessToday's top executives eat teeny meals and run 10 miles and play tennis and work out every day. Of course, they're so busy getting fit that many don't even know where their offices are. That's why the entire U.S. economy is now manufactured overseas.Barry on fitness after deathA quick chill, to approximately 325 degrees below zero, yields a muscle tone that we normally associate only with world-class body builders and certain minerals!Barry on nutritionEvery morning you should take a vitamin A pill, followed by a vitamin D, followed by an E, until you've spelled the healthful mnemonic phrase: ""A DEAD CAD BAKED A BAD CAKE, ACE."" And eat all the fiber-rich foods you can shove down your throat; these would be mainly your cotton candy and your Slim Jims.Barry on junk foodsWhite bread and refined sugar, if eaten, cause death within hours. So it's important to watch what you eat, at least until you get it inside your mouth. After that it becomes pretty disgusting."," Humor , Topic , Sports",Rodale Books,4.99,May,2000
Language and Myth,"By Cassirer, Ernst","In this important study Ernst Cassirer analyzes the non-rational thought processes that go to make up culture. He demonstrates that beneath both language and myth there lies an unconscious ""grammar"" of experience, whose categories and canons are not those of logical thought. He shows that this prelogical ""logic"" is not merely an undeveloped state of rationality, but something basically different, and that this archaic mode of thought still has enormous power over even our most rigorous thought, in language, poetry and myth.The author analyzes brilliantly such seemingly diverse (yet related) phenomena as the metaphysics of the Bhagavat Gita, the Melanesian concept of Mana, the Naturphilosophie of Schelling, modern poetry, Ancient Egyptian religion, and symbolic logic. He covers a vast range of material that is all too often neglected in studies of human thought.These six essays are of great interest to the student of philosophy or the philosophy of science, the historian, or the anthropologist. They are also remarkably timely for students of literature, what with the enormous emphasis placed upon ""myth"" in modern literary speculation. This book is not superficial speculation by a dabbler, but a penetrating study by one of the most profound and sensitive philosophic minds of our time."," Philosophy , Religious",Dover Publications,14.62,June,1953
Ripken: Cal on Cal,"By Ripken, Cal, Jr., Iooss, Walter (PHT), and Vancil, Mark (EDT)","Calvin Edwin Ripken Jr. was voted American League Rookie of the Year in 1982, and in the following year was named the league's Most Valuable Player - an award he received again in 1991.Named to his league's All-Star team twelve times, he has been a consistent offensive force, amassing more career home runs than any other shortstop, and he has fielded his position with captivating skill. In one season (1990) he played every inning and committed only three errors, attaining the highest fielding percentage (.996) of any shortstop in any year.The statistical achievements of Cal Ripken are one legend still in the making. How this Maryland lad grew into a star performer and spiritual inspiration for his teammates and opponents also is the stuff of legend. Here is the Cal Ripken story in pictures and in his own words, modest but forthright like the man himself."," Biography & Autobiography , General",Summit Publishing Group,8.79,January,1997
German in 32 Lessons (Gimmick Series),By Adrienne,,,W W Norton & Co Inc,5.29,January,1979
24 Essential Lessons for Investment Success: Learn the Most Important Investment Techniques from the Founder of Investor's Business Daily,"By O'Neil, William J.","The Wall Street Journal, New York Times, BusinessWeek, and USA Today Business Bestseller!From the publisher of Investor's Business Daily and best-selling author of How to Make Money in Stocks, comes the National Bestseller, 24 Essential Lessons for Investment Success, two dozen of the most important lessons for investors. In this one accessible guide, William J. O'Neil puts his popular and easy-to-follow techniques for building a profitable portfolio firmaly in the hands of investors­­and the goal of long-term financial security easily within their reach.24 Essential Lessons for Investment Success is based upon the closely followed ""26 Weeks to Investment Success"" editorials that appear in Investor's Business Daily. Edited and updated, O'Neil's timeless advice encapsulates such investing nuggets as buy high and sell higher to making a million in mutual funds. Concentrate your investments in a few areas, know them well, and watch them carefully.Don't just rely upon PE ratios and other common technical tools. Learn to use Relative Price Strength to help you choose stocks. O'Neil's cautionary yet pro-active advice has helped to make Investor's Business Daily one of America's fastest growing and most respected newspapers. Now investor's can benefit from his timeless words of wisdom, collected in one easy-to-use resource."," Business & Economics , Personal Finance , Investing",McGraw-Hill,4.99,December,1999
Many Waters,"By L'Engle, Madeleine","When twins Sandy and Dennys Murry accidentally interrupt one of their father's experiments, they are hurtled out of their ordinary world, across time and space into a mysterious desert land populated by unicorns, seraphim, and other mythic creatures",,Laurel Leaf,5.29,August,1987
The Last Debate:  A Novel of Politics and Journalism,"By Lehrer, James, Smith, Peter (EDT), and Osnos, Peter","Tom Chapman's reporting begins innocently enough. It's the eve of the one and only presidential debate, and he's been sent to Colonial Williamsburg by his magazine, The New American Tatler, to cover the event. An important assignment, but pretty routine for a journalist of Chapman's abilities.The campaign itself, however, has been anything but routine. The American people face an impossible choice between apparent evil and apparent incompetence: The Republican candidate, David Donald Meredith, a handsome, charismatic figure and a riveting speaker, is a fundamentalist demagogue, a nativist, and probably a racist - none but the most fervent ideologues doubts that his election would tear the country apart. The Democrat, Paul L. Greene, is everything Meredith is not - liberal, earnest, and utterly colorless - and is so far behind in the polls that he has all but conceded the race weeks before the election.As the handlers, the press corps, the camera crews, and the campaign operators assemble in Williamsburg for the final battle of the campaign, a different sort of battle is taking place on the debate panel. Reporters have been given devastating anonymous reports about Meredith's personal life. There's no time to check them out, but using them could throw the election to Greene. In utter secrecy, a decision is made. By the time the debate is over, American politics and journalism have been changed forever and the four panelists have vaulted to mega-stardom. And Tom Chapman is hot on the trail of the biggest story of his career: the debate behind the last debate."," Fiction , Political",Random House,4.99,August,1995
"Parents in Charge: Setting Healthy, Loving Boundaries for You and Your Child","By Chidekel, Dana","How many times have you said, ""How many times do I have to tell you...?"" Why do the terrible twos exist and what makes them so terrible -- and for whom? In Parents in Charge, Dr. Dana Chidekel answers these questions while providing a road map to raising children who will become competent, responsible, thoughtful, and successful adults.  Full of uncommon wisdom and common sense, based solidly in developmental theory and the most recent brain research, this empowering guide offers practical solutions to everyday parenting dilemmas: What is effective discipline, and when and how do you use it? How do you promote real self-esteem in kids? How can you stop saying no all the time? With honesty and simplicity, Dr. Chidekel also tackles hot-button topics of current parenting practice, including children's calling adults by their first names, out-of-control birthday parties, and the limits parents must put on their own behavior.  Enlivened with stories, anecdotes, and a healthy dose of humor, Parents in Charge gives you the tools you need to raise children that you -- and other people -- will love and enjoy."," Family & Relationships , Parenting , General",Simon & Schuster,5.29,January,2002
Prep (Junior Library Guild Selection),"By Coburn, Jake","Nick and his friends have every advantage: expensive clothes, beautiful homes in Manhattan, peerless private-school educations. However, beneath the picture-perfect veneer lies a violent subculture that is gritty and dangerous, with binge drinking, heavy drug use, casual sex, vandalism, and gangs. Nick is in love with his best friend, Kris, and imagines a future with her outside the violence of their circle. When Kris's younger brother becomes a gang target, Nick is compelled to navigate the complex politics of the prep world, come to terms with his past gang experience, and put his own life at risk. Brutally realistic, Prep is a powerful, gripping exposé of America's most affluent youth."," Young Adult Fiction , Social Themes , Friendship",Dutton Juvenile,5.29,September,2003
This Lullaby,"By Dessen, Sarah","From the award-winning and New York Times bestselling author of Once and for All   She’s got it all figured out.   Or does she? When it comes to relationships, Remy’s got a whole set of rules.   Never get too serious. Never let him break your heart. And never, ever date a musician.   But then Remy meets Dexter, and the rules don’t seem to apply anymore.   Could it be that she’s starting to understand what all those love songs are about?   “Remy and Dexter jump off the pages into the hearts of readers, who will wish for a romance like this of their own.” —Booklist  Sarah Dessen is the winner of the Margaret A. Edwards Award for her contributions to YA literature, as well as the Romantic Times Career Achievement Award. Books by Sarah Dessen:That SummerSomeone Like YouKeeping the MoonDreamlandThis LullabyThe Truth About Forever Just ListenLock and KeyAlong for the RideWhat Happened to GoodbyeThe Moon and MoreSaint AnythingOnce and for All"," Young Adult Fiction , Social Themes , Friendship",Speak,4.99,March,2004
"No mean city,: An inquiry into civic greatness,","By McKeldin, Theodore R",,,Author / Maryland Historical Society,10.1,January,1964
